(7.7, 14.3, 327.7)
(7.7, 14.3, 327.7)
(7.7, 14.3, 327.7)
(8.3, 14.3, 329.3)
(8.3, 14.3, 329.3)
(8.3, 14.3, 329.3)
(8.3, 14.3, 329.3)
(8.8, 14.5, 331.2)
(8.8, 14.5, 331.2)
(10.1, 14.7, 332.9)
(10.1, 14.7, 332.9)
(10.4, 14.8, 333.6)
(10.4, 14.8, 333.6)
(10.4, 14.8, 333.6)
(10.3, 14.8, 334.2)
(10.3, 14.8, 334.2)
(10.3, 14.8, 334.2)
(10.1, 15.0, 334.5)
(10.1, 15.0, 334.5)
(10.1, 15.0, 334.5)
(10.1, 15.0, 334.5)
(9.7, 15.2, 334.8)
(9.7, 15.2, 334.8)
(9.7, 15.2, 334.8)
(9.1, 15.4, 334.8)
(9.1, 15.4, 334.8)
(9.1, 15.4, 334.8)
(8.6, 15.4, 335.1)
(8.6, 15.4, 335.1)
(8.6, 15.4, 335.3)
(8.6, 15.4, 335.3)
(8.6, 15.4, 335.3)
(8.7, 15.3, 335.7)
(8.7, 15.3, 335.7)
(8.7, 15.3, 335.7)
(8.4, 15.2, 336.4)
(8.4, 15.2, 336.4)
(8.4, 15.2, 336.4)
(8.3, 15.1, 336.7)
(8.3, 15.1, 336.7)
(8.1, 15.0, 336.9)
(8.1, 15.0, 336.9)
(8.1, 15.0, 336.9)
(8.1, 15.0, 336.9)
(8.1, 15.0, 336.9)
(7.4, 15.0, 336.9)
(7.4, 15.0, 336.9)
(7.2, 15.0, 337.0)
(7.2, 15.0, 337.0)
(7.2, 15.0, 337.0)
(7.2, 15.0, 337.0)
(7.2, 15.0, 337.0)
(6.8, 15.0, 337.0)
(6.8, 15.0, 337.0)
(6.3, 15.0, 337.0)
(6.3, 15.0, 337.0)
(6.3, 15.0, 337.0)
(6.3, 15.0, 337.0)
(6.5, 15.0, 337.2)
(6.5, 15.0, 337.2)
(9.7, 15.5, 338.1)
(9.7, 15.5, 338.1)
(9.7, 15.5, 338.1)
(9.7, 15.5, 338.1)
(14.0, 13.4, 326.1)
(14.0, 13.4, 326.1)
(14.0, 13.4, 326.1)
(14.0, 13.4, 326.1)
(14.0, 13.4, 326.1)
(14.0, 13.4, 326.1)
(10.1, 7.8, 278.1)
(10.1, 7.8, 278.1)
(10.1, 7.8, 278.1)
(7.1, 7.5, 219.7)
(1.9, 0.1, 190.2)
(1.9, 0.1, 190.2)
(1.9, 0.1, 190.2)
(1.9, 0.1, 190.2)
(1.9, 0.1, 190.2)
(355.1, 348.8, 164.2)
(355.1, 348.8, 164.2)
(355.1, 348.8, 164.2)
(355.1, 348.8, 164.2)
(356.5, 341.9, 144.6)
(356.5, 341.9, 144.6)
(356.2, 342.1, 143.8)
(356.2, 342.1, 143.8)
(356.2, 342.1, 143.8)
(356.4, 343.6, 144.1)
(356.4, 343.6, 144.1)
(356.4, 343.6, 144.1)
(356.4, 343.6, 144.1)
(357.6, 344.9, 142.7)
(357.6, 344.9, 142.7)
(357.9, 346.2, 143.4)
(357.9, 346.2, 143.4)
(357.9, 346.2, 143.4)
(357.9, 346.2, 143.4)
(358.7, 344.8, 146.7)
(358.7, 344.8, 146.7)
(358.7, 344.8, 146.7)
(359.5, 344.6, 146.5)
(359.5, 344.6, 146.5)
(359.8, 344.4, 146.9)
(359.8, 344.4, 146.9)
(359.8, 344.4, 146.9)
(0.4, 345.9, 147.5)
(0.4, 345.9, 147.5)
